Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Penta Kills,Solo Kills
129,0.667,3.6,2.8,2.4,5.9,8.2,400,0.5720000000000001,0.22399999999999998,469,1.05,0.39,0.21,0.14,137,4,5,0.085,0.10099999999999999,0,24
26,0.423,1.8,1.9,3.4,4.1,7.8,365,0.578,0.262,424,1.02,0.49,0.17,0.2,-483,-6,-245,0.077,0.308,0,5
21,0.47600000000000003,2.3,1.6,3.1,5.6,7.2,341,0.618,0.212,359,0.69,0.46,0.15,0.15,-631,0,311,0.048,0.0,0,0
45,0.489,2.5,1.7,3.0,5.7,7.3,359,0.5660000000000001,0.22899999999999998,435,1.1,0.52,0.19,0.22,136,4,62,0.244,0.111,0,15
17,0.353,2.2,2.2,3.8,6.3,6.6,341,0.675,0.207,452,1.39,0.49,0.21,0.19,-356,-10,-317,0.17600000000000002,0.0,0,0
2,0.0,6.3,4.0,1.5,5.5,8.0,401,0.525,0.225,451,0.76,0.4,0.1,0.1,-578,-13,250,0.0,0.0,0,0
61,0.574,2.9,2.0,2.3,4.8,7.7,365,0.614,0.21899999999999997,376,1.05,0.42,0.22,0.18,43,2,103,0.16399999999999998,0.16399999999999998,0,13
17,0.47100000000000003,1.8,2.2,4.2,5.5,6.9,342,0.502,0.222,450,1.07,0.46,0.17,0.15,-360,-3,-450,0.0,0.11800000000000001,0,2
32,0.531,2.5,2.2,3.1,5.7,7.0,361,0.493,0.207,401,0.78,0.38,0.09,0.1,-77,-4,-141,0.094,0.125,0,11
65,0.6459999999999999,3.8,2.7,2.4,6.4,7.8,398,0.564,0.19699999999999998,391,0.96,0.42,0.14,0.18,303,9,300,0.24600000000000002,0.046,0,16
32,0.094,1.3,1.8,3.6,3.0,7.2,336,0.467,0.201,341,1,0.39,0.09,0.15,-1049,-12,-1353,0.0,0.0,0,0
33,0.273,2.2,2.4,2.8,3.7,9.0,412,0.539,0.251,444,0.95,0.46,0.12,0.14,353,17,372,0.03,0.152,0,6
48,0.5,3.4,2.6,2.0,4.4,8.2,394,0.598,0.235,451,1.03,0.46,0.14,0.15,436,14,175,0.292,0.22899999999999998,0,15
48,0.521,3.4,2.6,2.4,5.8,7.0,355,0.604,0.193,341,0.97,0.4,0.17,0.19,-222,-8,212,0.146,0.021,0,3
29,0.31,2.2,2.0,3.1,4.9,7.1,343,0.521,0.19699999999999998,405,0.77,0.42,0.08,0.17,-103,3,21,0.207,0.069,0,9
1,0.0,1.8,0.0,5.0,9.0,3.3,236,0.643,0.094,195,0.61,0.36,0.06,0.06,-1083,-57,-1146,0.0,0.0,0,0
7,0.429,3,1.7,2.3,5.1,8.1,369,0.474,0.183,320,0.87,0.33,0.14,0.12,-285,0,-131,0.14300000000000002,0.0,0,0
16,0.375,1.6,0.9,2.9,3.8,7.1,323,0.5670000000000001,0.184,278,0.82,0.42,0.14,0.21,-506,-12,-229,0.125,0.0,0,2
12,0.0,1.3,1.8,3.7,3.0,6.8,325,0.551,0.209,320,0.92,0.43,0.13,0.15,-696,-19,-668,0.16699999999999998,0.0,0,2
58,0.603,4.1,3.2,2.2,5.8,7.9,395,0.622,0.22699999999999998,422,1.06,0.52,0.15,0.19,394,4,235,0.32799999999999996,0.138,0,26
19,0.42100000000000004,2.1,1.7,2.4,3.4,7.2,342,0.364,0.18600000000000003,302,0.9,0.42,0.13,0.16,-528,-6,-233,0.105,0.21100000000000002,0,0
13,0.462,2.8,3.3,2.4,3.4,6.5,364,0.473,0.235,408,0.83,0.34,0.13,0.05,216,0,264,0.462,0.154,0,9
8,0.125,1.2,1.9,3.5,2.3,6.7,321,0.519,0.16699999999999998,232,0.73,0.34,0.1,0.14,-1172,-17,-410,0.0,0.125,0,1
7,0.429,2,1.3,3.3,5.1,6.7,334,0.498,0.159,282,1.16,0.62,0.13,0.29,-535,-20,-596,0.0,0.14300000000000002,0,0
50,0.42,3,3.1,2.6,5.0,7.3,363,0.616,0.21899999999999997,383,1.06,0.47,0.19,0.2,16,-2,71,0.22,0.08,0,19
44,0.5,2.6,1.5,2.3,4.5,7.0,340,0.46,0.19,352,0.9,0.45,0.11,0.17,-219,-8,-138,0.114,0.114,0,4
56,0.804,4,3.3,2.3,5.9,7.3,389,0.5,0.18600000000000003,422,0.86,0.41,0.13,0.12,399,1,152,0.214,0.018000000000000002,0,25
24,0.542,2.1,2.5,3.3,4.3,7.7,379,0.546,0.222,431,0.9,0.38,0.11,0.11,-221,0,-118,0.33299999999999996,0.25,0,13
16,0.43799999999999994,3,2.5,2.6,5.3,6.9,360,0.513,0.20199999999999999,387,0.77,0.33,0.13,0.08,284,10,-10,0.188,0.0,0,2
86,0.64,2.5,3.2,4.0,6.8,7.1,392,0.5760000000000001,0.24,529,0.79,0.35,0.12,0.13,284,4,-97,0.198,0.14,0,39
76,0.6970000000000001,3.8,1.9,2.2,6.4,7.5,369,0.55,0.18600000000000003,375,1.01,0.5,0.17,0.21,-13,3,199,0.21100000000000002,0.092,0,9
