Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
12,0.667,2.9,3.1,3.1,5.9,7.3,361,0.6729999999999999,0.304,574,1.08,0.39,0.19,0.17,-88,-7,70,0.16699999999999998,0.16699999999999998,4
14,0.5,5.0,3.4,1.5,4.1,7.9,368,0.605,0.217,361,0.95,0.57,0.15,0.3,-446,-18,-585,0.28600000000000003,0.0,2
43,0.419,3.5,4.0,2.4,4.3,9.4,418,0.685,0.309,566,1.2,0.48,0.24,0.21,-26,1,31,0.163,0.047,17
41,0.488,3.1,2.9,2.9,6.1,8.2,384,0.7190000000000001,0.28300000000000003,535,1.02,0.44,0.17,0.19,233,4,106,0.39,0.073,6
54,0.63,5.4,2.6,1.7,6.7,7.2,354,0.659,0.225,427,1.08,0.52,0.2,0.24,-295,-11,-256,0.259,0.055999999999999994,6
18,0.111,1.7,2.8,3.6,3.3,8.2,368,0.564,0.263,479,0.85,0.44,0.12,0.2,-460,-7,-404,0.16699999999999998,0.16699999999999998,7
58,0.552,3.3,3.3,2.4,4.9,8.0,386,0.6659999999999999,0.266,484,1.1,0.46,0.23,0.19,221,1,-94,0.276,0.10300000000000001,17
119,0.555,4.6,3.6,2.1,6.1,7.9,384,0.688,0.259,526,1.07,0.46,0.2,0.2,-23,3,-39,0.134,0.025,9
18,0.278,1.9,2.1,3.2,3.9,8.8,382,0.6609999999999999,0.289,432,0.88,0.49,0.13,0.2,-260,-2,-4,0.16699999999999998,0.222,4
42,0.405,3.5,3.3,2.5,5.3,8.5,388,0.6729999999999999,0.299,562,1.01,0.45,0.19,0.18,-108,2,164,0.19,0.095,12
14,0.214,2.4,2.6,2.8,4.0,8.3,374,0.595,0.278,462,1.08,0.43,0.18,0.13,-300,0,37,0.214,0.071,0
47,0.511,5.2,4.6,1.8,4.7,8.7,408,0.727,0.308,561,1.25,0.47,0.3,0.18,348,8,236,0.128,0.106,18
82,0.537,2.8,3.3,3.0,5.2,8.4,403,0.596,0.266,504,0.96,0.39,0.21,0.15,137,1,-10,0.183,0.11,27
27,0.444,3.2,3.8,2.9,5.4,8.3,395,0.601,0.292,597,1.05,0.31,0.24,0.13,137,5,191,0.185,0.037000000000000005,12
24,0.75,4.6,3.8,2.1,6.0,8.0,394,0.598,0.235,500,1.24,0.5,0.23,0.24,147,6,138,0.042,0.0,13
44,0.5,3.9,3.5,2.0,4.2,8.3,388,0.69,0.261,481,1.15,0.48,0.23,0.2,61,-1,93,0.273,0.159,9
33,0.455,4.8,4.3,1.9,4.9,8.3,392,0.642,0.29100000000000004,524,0.78,0.35,0.15,0.12,-125,0,19,0.121,0.061,9
124,0.669,5.6,3.6,1.7,6.0,8.6,410,0.6829999999999999,0.256,484,1.09,0.51,0.23,0.26,330,4,119,0.282,0.073,28
14,0.14300000000000002,2.0,2.3,3.0,3.6,9.0,374,0.47600000000000003,0.301,480,0.87,0.43,0.15,0.18,-267,7,37,0.14300000000000002,0.071,4
77,0.532,5.9,3.4,1.4,5.2,8.7,401,0.6829999999999999,0.263,475,0.88,0.4,0.15,0.15,85,0,86,0.23399999999999999,0.013000000000000001,22
19,0.526,3.3,2.8,2.3,4.7,8.0,382,0.5710000000000001,0.24100000000000002,434,1.03,0.42,0.2,0.21,-347,-7,-426,0.263,0.053,3
52,0.635,4.2,4.3,2.3,5.4,7.8,392,0.657,0.263,526,1.1,0.45,0.17,0.18,210,2,31,0.212,0.17300000000000001,18
41,0.659,5.1,4.4,1.9,5.0,9.6,438,0.6559999999999999,0.27699999999999997,530,1.24,0.46,0.25,0.18,574,17,506,0.317,0.073,25
58,0.603,4.8,4.0,2.1,6.3,7.9,390,0.7,0.263,506,1.02,0.45,0.13,0.18,191,0,104,0.207,0.034,12
14,0.071,2.0,2.2,2.8,3.4,7.8,350,0.505,0.251,383,0.73,0.38,0.09,0.14,-853,-16,-642,0.14300000000000002,0.0,4
50,0.52,4.2,3.7,2.2,5.3,8.6,405,0.639,0.281,533,1.12,0.47,0.19,0.18,178,0,102,0.24,0.08,5
16,0.313,3.3,2.6,2.6,6.0,7.2,352,0.674,0.20600000000000002,406,1.38,0.57,0.19,0.23,-367,-12,-225,0.125,0.125,5
52,0.6920000000000001,5.4,3.6,1.7,5.7,7.8,384,0.6659999999999999,0.25,462,0.92,0.34,0.18,0.15,111,-1,-57,0.212,0.096,9
49,0.612,4.5,5.0,2.4,6.1,8.7,424,0.6779999999999999,0.276,564,1.02,0.37,0.18,0.14,167,1,32,0.245,0.061,21
21,0.857,4.8,3.5,2.2,7.0,8.4,400,0.6829999999999999,0.237,443,0.95,0.47,0.13,0.15,-277,-8,-154,0.19,0.14300000000000002,9
59,0.6609999999999999,4.1,2.7,2.1,5.8,8.0,379,0.613,0.257,502,0.99,0.59,0.15,0.3,104,2,-3,0.237,0.017,8
27,0.40700000000000003,4.0,3.9,2.0,3.9,8.6,390,0.64,0.303,546,1.05,0.55,0.21,0.27,-114,-5,-122,0.222,0.111,4
12,0.41700000000000004,1.9,2.5,3.2,3.7,8.1,367,0.606,0.205,337,0.89,0.44,0.16,0.2,-205,-8,-53,0.16699999999999998,0.083,0
46,0.37,4.0,4.1,2.2,4.8,8.6,405,0.722,0.3,536,0.99,0.39,0.21,0.23,101,5,203,0.13,0.065,16
23,0.348,3.5,2.9,2.4,5.5,8.5,388,0.6759999999999999,0.278,457,1.11,0.46,0.24,0.17,-26,7,-11,0.174,0.043,4
20,0.4,2.2,3.6,3.5,4.2,8.4,384,0.622,0.29,493,1.01,0.42,0.15,0.16,-110,0,-302,0.45,0.05,4
128,0.625,4.4,3.3,1.9,4.8,9.5,423,0.6609999999999999,0.263,517,1.34,0.47,0.38,0.18,317,14,397,0.172,0.102,29
26,0.462,4.8,4.9,2.2,5.5,8.3,412,0.721,0.28300000000000003,576,1.03,0.42,0.15,0.19,236,8,322,0.154,0.0,14
19,0.316,2.7,2.6,2.5,4.1,8.6,382,0.599,0.276,480,1.11,0.53,0.17,0.25,-171,-4,0,0.21100000000000002,0.263,10
66,0.636,4.3,3.9,2.3,6.2,8.1,398,0.657,0.265,526,1.06,0.42,0.15,0.22,124,1,79,0.242,0.091,34
15,0.8,5.7,4.0,1.5,4.7,9.0,413,0.583,0.252,471,0.97,0.41,0.14,0.16,264,1,283,0.2,0.133,7
53,0.547,4.7,4.2,2.1,5.8,8.1,395,0.6659999999999999,0.251,493,0.88,0.43,0.11,0.19,69,1,63,0.28300000000000003,0.094,21
13,0.615,3.5,4.6,2.6,4.6,7.8,395,0.6709999999999999,0.32,629,0.97,0.42,0.15,0.14,227,9,400,0.154,0.077,6
40,0.575,3.0,2.8,2.3,4.1,7.7,358,0.5870000000000001,0.298,533,1.08,0.49,0.21,0.23,-248,-7,-14,0.075,0.1,10
28,0.5,2.4,2.3,3.1,5.0,8.7,385,0.5429999999999999,0.254,469,0.95,0.35,0.25,0.19,-73,5,-101,0.107,0.036000000000000004,2
29,0.10300000000000001,2.1,2.3,3.1,4.1,7.5,349,0.684,0.307,538,0.74,0.38,0.11,0.15,-608,-8,-88,0.10300000000000001,0.034,5
16,0.625,4.6,1.8,1.5,5.1,7.8,362,0.655,0.228,383,1.09,0.54,0.17,0.26,-186,-9,-161,0.188,0.063,2
36,0.41700000000000004,2.6,2.9,2.8,4.4,8.3,380,0.6409999999999999,0.281,503,1.22,0.58,0.24,0.29,44,2,-93,0.16699999999999998,0.111,12
45,0.556,6.0,5.0,2.0,7.2,8.4,417,0.7390000000000001,0.29,590,0.94,0.41,0.17,0.16,313,0,-252,0.044000000000000004,0.0,0
60,0.583,4.3,3.6,2.1,5.4,8.7,400,0.647,0.275,505,0.92,0.36,0.16,0.19,65,1,98,0.217,0.067,20
72,0.75,4.7,4.5,2.2,5.9,8.9,434,0.652,0.273,584,0.99,0.46,0.15,0.19,331,6,237,0.16699999999999998,0.083,28
51,0.529,3.9,3.0,2.1,5.5,8.6,393,0.684,0.264,494,1.11,0.45,0.21,0.22,-33,-2,-64,0.235,0.078,12
43,0.605,3.5,2.3,2.3,5.8,7.5,356,0.6559999999999999,0.22,416,1.07,0.48,0.19,0.2,-485,-17,-184,0.233,0.09300000000000001,0
19,0.42100000000000004,4.6,3.2,1.8,5.3,8.8,390,0.677,0.29100000000000004,488,0.86,0.37,0.19,0.15,179,9,286,0.105,0.0,2
32,0.406,4.0,4.1,2.2,4.7,8.5,398,0.627,0.28,541,1.17,0.5,0.19,0.21,165,1,128,0.188,0.063,9
18,0.444,5.1,4.0,1.7,4.8,7.5,367,0.6,0.243,421,0.89,0.36,0.17,0.12,-387,-8,132,0.055999999999999994,0.16699999999999998,7
14,0.7140000000000001,5.0,4.2,2.4,7.6,8.4,419,0.619,0.298,632,0.92,0.41,0.12,0.16,353,2,134,0.214,0.071,8
12,0.083,1.7,2.9,3.7,3.2,7.1,343,0.61,0.23,368,0.82,0.38,0.11,0.13,-730,-15,-409,0.083,0.0,3
95,0.684,5.0,5.8,2.4,6.2,8.6,442,0.6559999999999999,0.268,579,1.24,0.47,0.22,0.2,717,8,336,0.337,0.07400000000000001,80
42,0.405,3.2,3.9,2.8,5.1,7.5,376,0.649,0.24,495,1.06,0.39,0.24,0.17,-316,-14,-376,0.23800000000000002,0.0,18
111,0.5770000000000001,4.8,3.8,2.3,7.0,8.5,416,0.7509999999999999,0.28600000000000003,527,1.18,0.44,0.21,0.14,-138,-4,-136,0.162,0.027000000000000003,6
52,0.365,2.8,2.0,2.0,3.7,8.4,373,0.633,0.26,405,1.06,0.5,0.25,0.23,-164,-3,-137,0.17300000000000001,0.154,6
52,0.5579999999999999,3.9,4.3,2.5,5.3,8.6,418,0.632,0.267,535,1.1,0.43,0.25,0.22,470,8,218,0.231,0.038,24
10,0.9,6.2,5.1,1.9,6.6,9.0,460,0.66,0.332,745,1.1,0.44,0.22,0.16,882,13,562,0.3,0.1,12
35,0.371,2.5,2.6,2.3,3.3,8.7,382,0.67,0.273,440,1.17,0.48,0.23,0.23,-9,-1,-79,0.2,0.086,9
28,0.28600000000000003,2.6,2.2,1.9,2.9,8.7,370,0.623,0.305,466,1.03,0.43,0.22,0.17,-141,1,-122,0.071,0.071,3
48,0.5,4.2,3.8,2.1,5.1,8.0,392,0.682,0.249,447,1.05,0.42,0.21,0.22,200,-3,-37,0.25,0.042,13
59,0.542,3.1,4.0,3.0,5.4,7.5,381,0.626,0.212,428,0.85,0.36,0.12,0.14,-707,-24,-554,0.22,0.11900000000000001,19
19,0.632,3.0,3.9,3.4,6.2,7.6,389,0.62,0.257,524,0.91,0.43,0.14,0.14,442,11,264,0.368,0.158,11
19,0.42100000000000004,3.7,2.8,2.6,6.9,6.8,343,0.7120000000000001,0.177,324,0.98,0.35,0.2,0.18,-591,-17,-482,0.263,0.053,6
50,0.6,3.8,3.7,2.4,5.2,8.5,395,0.64,0.271,515,1.07,0.54,0.18,0.3,-259,-6,-163,0.18,0.1,15
18,0.444,4.1,3.0,2.1,5.4,7.8,365,0.619,0.24600000000000002,442,1.25,0.51,0.18,0.26,-67,-3,-178,0.33299999999999996,0.055999999999999994,4
50,0.48,4.6,3.7,1.8,4.6,8.9,408,0.6940000000000001,0.293,532,1.16,0.52,0.24,0.21,134,2,73,0.18,0.08,13
