Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
129.0,0.667,3.6,2.8,2.4,5.9,8.2,400,0.5720000000000001,0.22399999999999998,469,0.39,0.21,0.14,137,4,5,0.085,0.10099999999999999,24
26.0,0.423,1.8,1.9,3.4,4.1,7.8,365,0.578,0.262,424,0.49,0.17,0.2,-483,-6,-245,0.077,0.308,5
21.0,0.47600000000000003,2.3,1.6,3.1,5.6,7.2,341,0.618,0.212,359,0.46,0.15,0.15,-631,0,311,0.048,0.0,0
45.0,0.489,2.5,1.7,3.0,5.7,7.3,359,0.5660000000000001,0.22899999999999998,435,0.52,0.19,0.22,136,4,62,0.244,0.111,15
17.0,0.353,2.2,2.2,3.8,6.3,6.6,341,0.675,0.207,452,0.49,0.21,0.19,-356,-10,-317,0.17600000000000002,0.0,0
61.0,0.574,2.9,2.0,2.3,4.8,7.7,365,0.614,0.21899999999999997,376,0.42,0.22,0.18,43,2,103,0.16399999999999998,0.16399999999999998,13
17.0,0.47100000000000003,1.8,2.2,4.2,5.5,6.9,342,0.502,0.222,450,0.46,0.17,0.15,-360,-3,-450,0.0,0.11800000000000001,2
32.0,0.531,2.5,2.2,3.1,5.7,7.0,361,0.493,0.207,401,0.38,0.09,0.1,-77,-4,-141,0.094,0.125,11
65.0,0.6459999999999999,3.8,2.7,2.4,6.4,7.8,398,0.564,0.19699999999999998,391,0.42,0.14,0.18,303,9,300,0.24600000000000002,0.046,16
32.0,0.094,1.3,1.8,3.6,3.0,7.2,336,0.467,0.201,341,0.39,0.09,0.15,-1049,-12,-1353,0.0,0.0,0
33.0,0.273,2.2,2.4,2.8,3.7,9.0,412,0.539,0.251,444,0.46,0.12,0.14,353,17,372,0.03,0.152,6
48.0,0.5,3.4,2.6,2.0,4.4,8.2,394,0.598,0.235,451,0.46,0.14,0.15,436,14,175,0.292,0.22899999999999998,15
48.0,0.521,3.4,2.6,2.4,5.8,7.0,355,0.604,0.193,341,0.4,0.17,0.19,-222,-8,212,0.146,0.021,3
29.0,0.31,2.2,2.0,3.1,4.9,7.1,343,0.521,0.19699999999999998,405,0.42,0.08,0.17,-103,3,21,0.207,0.069,9
16.0,0.375,1.6,0.9,2.9,3.8,7.1,323,0.5670000000000001,0.184,278,0.42,0.14,0.21,-506,-12,-229,0.125,0.0,2
58.0,0.603,4.1,3.2,2.2,5.8,7.9,395,0.622,0.22699999999999998,422,0.52,0.15,0.19,394,4,235,0.32799999999999996,0.138,26
19.0,0.42100000000000004,2.1,1.7,2.4,3.4,7.2,342,0.364,0.18600000000000003,302,0.42,0.13,0.16,-528,-6,-233,0.105,0.21100000000000002,0
13.0,0.462,2.8,3.3,2.4,3.4,6.5,364,0.473,0.235,408,0.34,0.13,0.05,216,0,264,0.462,0.154,9
50.0,0.42,3,3.1,2.6,5.0,7.3,363,0.616,0.21899999999999997,383,0.47,0.19,0.2,16,-2,71,0.22,0.08,19
44.0,0.5,2.6,1.5,2.3,4.5,7.0,340,0.46,0.19,352,0.45,0.11,0.17,-219,-8,-138,0.114,0.114,4
56.0,0.804,4,3.3,2.3,5.9,7.3,389,0.5,0.18600000000000003,422,0.41,0.13,0.12,399,1,152,0.214,0.018000000000000002,25
24.0,0.542,2.1,2.5,3.3,4.3,7.7,379,0.546,0.222,431,0.38,0.11,0.11,-221,0,-118,0.33299999999999996,0.25,13
16.0,0.43799999999999994,3,2.5,2.6,5.3,6.9,360,0.513,0.20199999999999999,387,0.33,0.13,0.08,284,10,-10,0.188,0.0,2
86.0,0.64,2.5,3.2,4.0,6.8,7.1,392,0.5760000000000001,0.24,529,0.35,0.12,0.13,284,4,-97,0.198,0.14,39
76.0,0.6970000000000001,3.8,1.9,2.2,6.4,7.5,369,0.55,0.18600000000000003,375,0.5,0.17,0.21,-13,3,199,0.21100000000000002,0.092,9
97.0,0.5670000000000001,2.7,3.3,3.2,5.1,8.1,406,0.579,0.23800000000000002,480,0.36,0.14,0.14,376,6,299,0.165,0.18600000000000003,33
49.0,0.429,2.9,2.0,2.3,4.7,7.4,352,0.564,0.21100000000000002,351,0.52,0.13,0.19,-147,2,1,0.22399999999999998,0.08199999999999999,9
71.0,0.5770000000000001,3.1,2.5,2.5,5.3,7.3,372,0.5529999999999999,0.20199999999999999,371,0.43,0.18,0.18,92,2,95,0.16899999999999998,0.07,16
23.0,0.435,2,2.5,4.0,5.7,6.5,342,0.5539999999999999,0.24600000000000002,450,0.41,0.13,0.1,-389,-17,-186,0.391,0.087,14
21.0,0.47600000000000003,2.5,3.5,3.5,5.1,7.3,370,0.552,0.179,365,0.46,0.1,0.17,-401,-5,-152,0.14300000000000002,0.14300000000000002,9
46.0,0.522,3.3,4.0,2.9,5.5,7.8,403,0.585,0.249,513,0.41,0.1,0.15,692,13,481,0.304,0.13,33
27.0,0.63,3,2.4,2.9,6.2,7.0,355,0.609,0.221,400,0.46,0.15,0.15,-180,-4,-102,0.222,0.111,5
82.0,0.415,2,2.8,3.3,3.6,8.0,383,0.552,0.248,433,0.37,0.16,0.12,14,5,-62,0.085,0.061,18
77.0,0.532,3.3,2.7,2.4,5.1,7.6,376,0.633,0.249,448,0.52,0.15,0.26,250,-0,-31,0.364,0.13,19
18.0,0.444,2.5,4.6,3.6,4.3,8.5,417,0.624,0.302,555,0.35,0.14,0.08,215,14,-112,0.5,0.111,14
23.0,0.348,2,2.5,3.3,4.3,7.2,354,0.598,0.19699999999999998,324,0.31,0.21,0.16,-363,-7,-376,0.391,0.043,9
15.0,0.6,2.4,1.8,2.7,4.6,7.3,365,0.455,0.22399999999999998,387,0.44,0.18,0.2,-43,-6,-15,0.2,0.2,2
67.0,0.597,2.6,2.7,3.2,5.6,7.4,378,0.618,0.23399999999999999,431,0.48,0.15,0.22,-79,-6,4,0.22399999999999998,0.149,28
11.0,0.273,1.6,2.6,4.8,5.3,6.5,335,0.5579999999999999,0.233,450,0.43,0.1,0.13,-464,-15,-118,0.091,0.273,4
13.0,0.615,3.5,2.2,2.8,7.4,6.6,346,0.642,0.191,372,0.32,0.09,0.07,-254,-2,32,0.0,0.231,4
36.0,0.25,2.1,1.6,2.6,3.8,7.3,346,0.583,0.20800000000000002,329,0.5,0.14,0.25,-149,-0,48,0.111,0.16699999999999998,7
107.0,0.645,4.6,2.8,1.7,5.3,8.3,396,0.63,0.22899999999999998,418,0.43,0.2,0.17,63,-2,46,0.23399999999999999,0.131,45
14.0,0.28600000000000003,1.2,1.4,4.3,3.8,6.5,320,0.5429999999999999,0.21600000000000003,377,0.44,0.15,0.13,-580,-18,-762,0.28600000000000003,0.071,1
37.0,0.757,3.5,2.8,2.3,5.5,7.7,382,0.638,0.24,435,0.45,0.21,0.2,231,6,182,0.10800000000000001,0.162,9
30.0,0.2,2.1,2.4,3.2,4.3,7.7,366,0.63,0.23199999999999998,384,0.42,0.12,0.13,-177,-7,-308,0.3,0.133,7
64.0,0.516,3.3,2.8,2.3,4.8,7.4,372,0.5710000000000001,0.203,374,0.35,0.15,0.13,88,2,114,0.21899999999999997,0.109,24
66.0,0.53,2.1,2.8,3.5,4.4,7.6,389,0.544,0.221,415,0.44,0.16,0.14,193,1,-84,0.242,0.106,31
20.0,0.65,3.5,4.6,2.6,4.6,7.9,421,0.5529999999999999,0.244,539,0.48,0.19,0.18,341,12,83,0.15,0.05,12
30.0,0.4,2.6,2.2,2.7,4.9,7.5,357,0.532,0.21600000000000003,383,0.43,0.16,0.11,-759,-4,-372,0.033,0.033,0
64.0,0.359,1.8,2.2,3.2,3.7,7.6,360,0.5870000000000001,0.24100000000000002,405,0.52,0.22,0.26,-110,-3,-172,0.125,0.188,12
98.0,0.49,3,2.4,2.5,5.1,7.7,370,0.583,0.233,417,0.5,0.12,0.2,144,4,130,0.040999999999999995,0.071,5
17.0,0.235,1.6,2.0,2.8,2.5,6.6,322,0.514,0.22699999999999998,353,0.36,0.12,0.09,-256,-11,103,0.11800000000000001,0.235,5
40.0,0.45,2.8,2.2,2.3,4.1,8.0,387,0.601,0.23800000000000002,405,0.44,0.12,0.15,-133,-2,-124,0.2,0.2,7
41.0,0.488,3.5,3.3,2.2,4.7,7.8,397,0.652,0.24600000000000002,475,0.48,0.12,0.2,505,8,303,0.317,0.024,11
14.0,0.28600000000000003,2.1,2.9,3.1,3.6,7.9,367,0.7440000000000001,0.281,456,0.44,0.17,0.12,331,12,478,0.28600000000000003,0.214,6
14.0,0.28600000000000003,2.4,2.6,3.0,4.6,7.4,355,0.624,0.26,408,0.37,0.13,0.12,-190,-2,-75,0.214,0.14300000000000002,4
61.0,0.607,3,3.2,3.1,6.3,7.1,376,0.596,0.215,419,0.5,0.19,0.19,259,5,65,0.131,0.14800000000000002,30
50.0,0.6,2.8,2.9,2.9,5.4,7.5,379,0.605,0.249,472,0.4,0.18,0.15,211,4,90,0.2,0.08,17
16.0,0.375,2.2,2.6,4.1,6.4,5.8,320,0.527,0.182,402,0.5,0.14,0.25,-718,-20,-527,0.188,0.125,3
128.0,0.625,3,2.5,2.5,5.1,8.5,395,0.597,0.217,424,0.47,0.18,0.17,114,5,126,0.18,0.22699999999999998,44
30.0,0.5329999999999999,4,2.5,2.2,6.3,7.3,369,0.551,0.226,455,0.46,0.15,0.2,292,4,115,0.16699999999999998,0.16699999999999998,11
18.0,0.33299999999999996,2,2.3,3.2,4.1,7.2,355,0.51,0.22699999999999998,410,0.37,0.15,0.11,-115,-3,-77,0.055999999999999994,0.111,7
42.0,0.7859999999999999,4.4,3.0,2.1,6.1,7.6,387,0.5429999999999999,0.20600000000000002,420,0.42,0.09,0.11,378,8,199,0.28600000000000003,0.048,15
21.0,0.619,3.9,4.7,2.3,4.4,8.4,431,0.519,0.23,451,0.5,0.11,0.22,576,9,340,0.381,0.28600000000000003,18
31.0,0.226,1.6,2.4,3.6,3.5,8.0,369,0.591,0.237,405,0.49,0.16,0.23,-113,2,97,0.226,0.226,14
29.0,0.207,2,2.4,3.0,3.4,7.5,358,0.5,0.215,354,0.39,0.08,0.11,-605,-13,-238,0.10300000000000001,0.207,13
59.0,0.6609999999999999,3.5,3.5,2.6,5.6,7.2,379,0.6459999999999999,0.239,460,0.38,0.19,0.14,384,6,265,0.373,0.102,18
18.0,0.389,2.1,2.0,3.2,4.7,7.6,371,0.622,0.217,399,0.5,0.15,0.22,-184,-3,-236,0.278,0.389,3
21.0,0.47600000000000003,3.4,3.1,2.9,6.7,6.9,361,0.596,0.217,399,0.53,0.15,0.24,-172,-6,54,0.33299999999999996,0.048,4
53.0,0.509,2.3,2.6,3.6,5.7,7.5,368,0.556,0.231,441,0.47,0.13,0.17,10,3,40,0.28300000000000003,0.151,21
42.0,0.47600000000000003,3.3,2.5,2.2,4.7,7.8,381,0.5870000000000001,0.21899999999999997,420,0.45,0.18,0.15,47,4,279,0.071,0.095,12
61.0,0.525,2.6,2.1,2.6,4.8,7.3,367,0.5710000000000001,0.24,400,0.46,0.12,0.16,-255,-10,-203,0.295,0.131,15
13.0,0.462,2.6,2.2,2.8,5.3,7.5,364,0.601,0.21899999999999997,406,0.43,0.15,0.14,-383,-2,61,0.154,0.231,3
58.0,0.397,2.4,2.6,3.1,4.8,8.3,391,0.647,0.251,478,0.24,0.26,0.11,76,5,183,0.052000000000000005,0.121,4
24.0,0.583,3.1,2.2,2.7,6.3,6.5,337,0.578,0.168,318,0.48,0.13,0.17,-666,-18,-556,0.16699999999999998,0.083,3
48.0,0.667,4.2,2.5,2.1,6.5,7.4,377,0.579,0.223,446,0.37,0.1,0.08,16,3,181,0.10400000000000001,0.083,8
15.0,0.33299999999999996,2.3,2.4,3.7,6.1,6.5,342,0.6509999999999999,0.23,416,0.36,0.16,0.15,-163,0,-262,0.067,0.2,6
50.0,0.78,6.1,3.9,1.8,7.0,7.7,403,0.613,0.23600000000000002,477,0.42,0.12,0.15,178,2,45,0.28,0.1,21
14.0,0.28600000000000003,1.3,1.9,3.6,2.6,7.0,331,0.37799999999999995,0.20600000000000002,301,0.4,0.15,0.14,-401,-13,-381,0.14300000000000002,0.14300000000000002,7
32.0,0.594,3.5,3.4,2.4,4.8,7.4,381,0.509,0.22699999999999998,436,0.51,0.17,0.22,403,2,205,0.25,0.063,17
32.0,0.43799999999999994,2.6,2.8,3.5,6.3,6.6,354,0.5660000000000001,0.213,444,0.35,0.08,0.16,-714,-18,-403,0.21899999999999997,0.156,17
